from	to
5898	4644
5898	85021
5898	5601
5898	387
5898	3265
5898	1029
5898	5863
5898	4043
5898	11336
5898	5333
5898	375
5898	9847
5898	10640
55971	8976
55971	2059
55971	7454
55971	998
55971	4690
10368	786
10368	116444
10368	59285
10368	79820
10368	27092
10368	2906
10368	93145
10368	775
10368	59283
10368	149111
10368	2893
10368	347732
10368	776
10368	2905
10368	2891
10368	10369
10368	784
10368	117144
10368	254263
10368	818
10368	783
10368	246329
10368	8912
10368	2036
10368	817
10368	1739
10368	3359
10368	781
10368	6261
10368	773
10368	116443
10368	779
10368	777
10368	4646
10368	774
10368	2902
10368	778
10368	257062
10368	117155
10368	93589
10368	59284
10368	782
10368	3306
10368	9495
10368	816
10368	2903
10368	815
10368	2280
10368	57828
10368	388336
10368	378807
10368	2890
10368	27091
10368	785
10368	729993
10368	2904
10368	2892
54972	6747
1856	5526
1856	1457
1856	50855
1856	5516
1856	2931
1856	11211
1856	11021
1856	5880
1856	1455
1856	7428
1856	4853
1856	324
1856	4040
1856	5525
1856	8312
1856	64750
1856	27130
1856	1459
1856	9620
1856	4854
1856	5582
1856	8452
1856	7474
1856	23710
1856	85407
1856	4851
1856	90268
1856	89780
1856	8324
1856	2776
1856	8321
1856	54361
1856	1173
1856	7471
1856	4041
1856	166336
1856	59343
1856	85409
1856	120892
1856	5347
1856	8313
1856	5881
1856	5579
1856	53944
1856	5519
1856	1857
1856	2535
1856	1453
1856	5518
1856	2932
1856	7481
1856	161
1856	139285
1856	115908
1856	4088
1856	27152
1856	51339
1856	64359
1856	5529
1856	7479
1856	23650
1856	1499
1856	144165
1856	29978
1856	8326
1856	81839
1856	5879
1856	8323
1856	160
1856	11060
1856	7855
1856	57154
1856	59349
1856	57216
1856	55361
1856	23401
1856	10023
1856	3725
1856	2060
1856	8325
1856	25805
1856	4920
1856	1460
1856	1855
1856	26524
1856	8878
1856	440193
1856	29964
1856	80319
1856	23002
1856	5599
1856	1454
1856	81029
1856	23500
1856	6295
1856	22848
1856	387
1856	409
1856	29924
1856	5578
1856	408
1856	5527
1856	5528
1856	5515
1856	5754
1856	25937
1856	1452
1856	7478
1856	22881
1856	8322
1856	7976
1856	9113
1856	10297
1856	51741
1856	4007
1856	283106
1856	342184
1856	1213
1856	83737
1856	163
79657	81572
79657	51575
79657	9440
79657	55011
79657	9894
79657	25885
79657	11321
79657	120379
79657	5439
79657	116143
79657	55172
79657	3308
79657	26015
79657	741
79657	55164
79657	8607
79657	65123
79657	113746
79657	5499
79657	3320
79657	8409
79657	5501
79657	5202
79657	3326
79657	9675
79657	8725
79657	10471
79657	10856
79657	79871
79657	5434
79657	80185
79657	5430
79657	10728
8935	3678
8935	2534
8935	26191
8935	3688
8935	3676
8935	140885
8935	4067
8935	128387
3207	51053
3207	4211
3207	2308
6376	6347
6376	1236
6376	102
6376	3553
6376	643
6376	729230
6376	1234
6376	3577
6376	1230
6376	6356
6376	3627
6376	3576
6376	2829
6376	131450
6376	3579
6376	1237
6376	1235
6376	10803
6376	1524
6376	2833
6376	6354
6376	2919
6376	3569
6376	7852
6376	10663
6376	7124
6376	4345
6376	1232
6376	6352
6376	6348
6376	6351
79090	22878
79090	7109
79090	6811
79090	51693
79090	58485
79090	10484
79090	81876
79090	64689
79090	284353
79090	51112
79090	122553
79090	60684
79090	1121
79090	9220
79090	1122
79090	100128327
79090	2665
79090	6396
79090	83696
79090	22872
79090	5861
79090	6399
79090	2664
79090	80006
79090	2801
79090	10427
79090	51399
79090	8615
79090	51741
79090	126003
79090	27095
64847	5876
64847	128153
64847	54558
64847	128497
64847	5641
57414	64285
57414	84236
57414	337867
115939	5199
115939	23378
115939	28987
115939	55720
115939	26608
115939	55039
115939	9719
115939	84946
115939	90121
115939	10436
115939	26873
114881	2580
114881	9218
51087	431707
51087	344018
51087	22927
51087	7784
51087	402381
51087	135935
51087	7783
51087	1656
3675	3691
3675	3082
3675	3912
3675	3696
3675	1277
3675	7448
3675	3910
3675	7408
3675	81
3675	3911
3675	3915
3675	7057
3675	3685
3675	3682
3675	3918
3675	4811
3675	941
3675	3680
3675	3695
3675	1956
3675	3672
3675	3694
3675	3678
3675	1293
3675	3693
3675	3673
3675	1278
3675	382
3675	83700
3675	1292
3675	1398
3675	7804
3675	1493
3675	8763
3675	1464
3675	7094
3675	4233
3675	811
3675	3909
3675	940
3675	2318
3675	22801
3675	1287
3675	682
3675	55742
3675	5329
3675	5747
3675	2335
3675	80781
3675	3683
3675	60
3675	1969
3675	7037
3675	1284
3675	1291
3675	7058
3675	5877
3675	8515
3675	2316
3675	1600
3675	5328
3675	6714
3675	1282
3675	8516
3675	375790
3675	7436
3675	928
3675	3681
3675	284217
3675	3914
3675	7103
3675	87
3675	1288
3675	3688
3675	1285
3675	1286
3675	3676
3675	977
3675	3689
3675	58494
3675	29780
3675	3913
3675	9564
3675	5649
3675	3908
3675	7045
3675	2317
3675	3964
3675	3684
3675	3690
3675	83660
3675	3687
3675	7422
83741	1387
83741	2033
83741	132851
83741	85364
1407	1628
1407	6500
1407	79365
1407	9572
1407	8864
1407	8553
1407	6095
1407	7008
1407	56938
1407	6233
1407	4783
1407	7314
1407	9575
1407	9975
1407	5187
1407	1453
1407	5499
1407	6097
1407	4862
1407	5501
1407	26224
1407	8945
1407	94233
1407	6096
1407	5500
1407	1454
1407	406
1407	7311
1407	7316
1407	8914
1407	55070
1407	1408
1407	5554
1407	8863
8993	7132
8993	9524
8993	54210
8993	3308
8993	6275
83930	54749
83930	6770
83930	10948
83930	9218
83930	273
83930	10577
57172	805
57172	4846
57172	50848
57172	51806
57172	58494
57172	1385
57172	91860
972	4282
972	1512
972	1075
972	3111
972	1509
972	821
972	1513
972	351
972	8722
972	3579
972	27436
972	3117
972	1514
