mesh_code	max_phase
D000068876	1
D000077483	2
D008148	2
C064146	2
C031351	2
D000077205	2
C027032	3
C571826	2
C000718244	1
D008333	3
C005419	3
D004205	2
D002794	2
D006063	0
D003084	2
D008777	2
C010792	2
C004648	2
C016131	2
C055085	2
D010656	1
D017311	2
D019323	2
C108475	3
D014260	4
D000108	3
D013767	2
D017706	2
C555622	2
D000477	3
C017178	2
D000630	2
D004164	4
D000077588	2
C032808	3
D003523	3
C061400	2
D019275	4
D010634	2
D011372	3
C031637	4
D004329	4
D006220	4
D008787	4
D004294	4
C033968	4
D058831	4
D000077556	3
D015474	3
C073340	2
D005447	2
D015122	2
D008277	2
D019772	2
D008559	3
D002211	3
C073482	2
D017336	2
D009288	2
D000077465	1
D000078784	4
D052203	1
D003035	3
D000068656	3
D015282	3
C100342	3
D013498	2
D004961	2
C061972	2
C408162	2
C046785	2
C099587	2
D004656	3
C112124	3
D006495	3
D010121	2
D009640	3
D000077563	3
C102714	2
D013411	0
D012837	0
D000975	0
C105308	2
D019342	1
D002185	3
D007559	2
D000069472	2
C005900	2
C030262	2
D000068896	2
C529054	2
D004492	1
C079905	2
D008694	0
D000078262	2
C093844	2
D012825	1
C082854	1
C025463	2
D002710	4
D015847	1
D011206	4
D011205	4
C110010	2
D000077237	2
D019782	1
D009388	2
D005474	2
C014794	1
C545373	1
C552946	1
D019808	2
D007611	1
D009173	2
C009271	3
D001215	3
D007155	2
D003606	1
D001645	1
C547825	3
D001285	2
D019161	3
C005975	3
D000077154	1
D000077784	2
D004002	3
D017308	0
D000077332	1
D000069580	0
D002364	2
D000622	3
D012973	2
C024611	2
D000900	3
D001761	2
D017964	0
D015773	0
C086548	2
C098320	2
C515233	2
C000626590	1
C000706531	1
C035276	2
C034935	1
D006861	2
C066438	2
C000630586	2
D000932	0
D013407	4
C035444	4
C000631126	2
D016651	0
D011346	3
C089399	3
D015224	2
D007099	1
C528561	1
D014147	2
D011730	2
C000626727	1
C572255	1
D014148	4
C000706530	2
D008920	2
C060283	2
D003676	2
D020845	2
D015718	4
D060754	1
C000628489	0
D002738	2
D004318	2
D004157	2
C002534	2
C000627413	2
D005437	1
D048789	0
D020913	2
C117959	1
C000619734	1
C000629291	2
D000077144	2
D010862	3
D000667	4
D007501	1
C063587	0
D000069468	4
D004639	0
D016729	4
C081222	4
D000068878	4
D004054	4
D004966	4
D002699	4
D019290	4
D000616	4
D000077235	4
D064730	4
D000093542	4
D015251	4
D002945	4
D003520	4
D017312	4
D005472	4
D008727	4
D014747	4
D017258	4
D013739	4
D004970	4
D013629	4
D000077146	4
D004958	4
D013738	4
D000077267	4
D016190	4
D004997	4
D009277	4
C056516	4
D004317	4
D000077289	4
